Username,Assignment: Working with process ,Assignment: Control Charts Fundamentals,Assignment: Rule 5 Validation for Control Charts,Assignment:Quality Characteristic Identification,Week 1 Test Process and OA ,Control Chart Test ,Control Charts 2 Test [Total Pts: 100 Score] |843624,Quality Characteristics Test,Project: OA - Tools - Control Chart ,Project: Sending seaborn chart week 1,Final Grade
777591658281597,90,100,85,83,40,40,50,100,,100,88.84705
982753008148116,80,78,40,8.5,40,80,50,100,,0,42.88676
361208528119714,60,88,90,41.5,40,40,0,100,,100,74.86617
125055452243448,90,94.5,55,58.5,40,100,0,100,,0,55.28823
309236635102423,73,77,65,91.5,40,60,50,100,,100,82.00441
34058252368803,50,72,40,8.5,40,100,50,100,,0,38.36911
18292477133958,90,77,100,91.5,40,40,75,,,100,88.46249
650027783553656,80,78,67.5,50,40,20,0,100,,0,48.38382
871638767283959,90,94,85,91.5,40,20,75,100,,100,89.44264
436152456749602,70,88,85,67,40,80,100,100,,100,85.61764
197829551777562,0,94.5,55,58.5,40,0,75,100,,0,40.68529
715084411249975,100,89,100,83.5,40,80,75,100,,100,93.8897
435173259859115,70,88,85,67,40,86.66666,100,100,,100,85.91176
822012339012568,72.5,89,85,91.5,0,80,75,100,,100,86.95
84482681246854,50,100,100,83.5,40,100,75,100,,100,88.92205
127030691708043,80,60.5,67.5,50,40,60,0,100,,0,47.52352
878706487896744,100,100,85,83,0,40,50,100,,100,88.58235
250500694132508,60,100,90,41.5,40,60,25,100,,100,78.65147
854236330458587,67,83,100,83.5,30,40,0,80,,100,81.64264
245016302300062,90,88,100,91.5,40,40,75,100,,100,91.675
92065293134411,50,100,100,83.5,0,80,25,100,,100,84.06911
518300687467873,47.5,83,65,91.5,40,66.66666,0,100,,100,77.16764
